Sample,D_all,D_Rel,D_RF,D_WCC,O_all,O_Rel,O_RF,O_WCC,R_all,R_Rel,R_RF,R_WCC,C_all,C_Rel,C_RF,C_WCC
601,720,784,838,1000,1000,1000,1000,1000,491,649,609,819,713,768,807,1000
602,0,887,0,1000,1000,1000,1000,1000,373,708,537,592,766,766,976,1000
603,0,824,0,982,999,999,1000,1000,454,614,716,695,712,751,825,999
604,0,645,0,993,1000,1000,1000,1000,281,637,711,452,738,767,847,996
605,567,570,962,989,997,997,1000,1000,257,648,687,375,625,843,645,931
606,719,776,839,1000,1000,1000,1000,1000,480,587,694,807,685,867,696,1000
607,528,529,934,1000,999,999,1000,1000,534,627,646,967,801,818,954,979
608,563,564,956,1000,998,998,1000,1000,431,656,464,910,834,838,975,1000
609,531,533,939,1000,1000,1000,1000,1000,560,618,712,977,502,584,575,964
610,749,752,985,997,998,998,1000,1000,494,688,547,903,447,531,521,997
611,55,811,55,983,999,999,1000,1000,370,558,757,616,621,628,864,991
612,598,599,946,1000,1000,1000,1000,1000,420,688,444,878,317,576,318,1000
613,588,591,940,1000,997,997,1000,1000,418,680,442,895,667,855,680,1000
614,368,606,396,1000,999,999,1000,1000,565,590,800,972,845,848,980,1000
615,597,642,762,1000,999,999,1000,1000,481,552,849,838,604,677,708,992
616,530,533,940,1000,1000,1000,1000,1000,557,611,751,933,492,573,558,983
617,822,854,936,977,999,999,1000,1000,588,674,733,940,770,771,968,1000
618,366,608,396,1000,999,999,1000,1000,368,638,397,867,696,698,944,1000
619,580,887,587,1000,999,999,1000,1000,590,627,786,980,445,701,453,997
620,0,694,0,1000,1000,1000,1000,1000,367,613,806,580,546,549,873,999
621,558,587,775,995,1000,1000,1000,1000,523,592,707,914,618,624,855,1000
622,614,635,842,981,999,999,1000,1000,562,591,776,992,470,597,582,814
623,849,852,980,1000,1000,1000,1000,1000,481,581,672,834,497,747,504,971
624,0,643,0,1000,1000,1000,1000,1000,504,641,675,800,853,890,954,957
625,55,812,55,1000,1000,1000,1000,1000,585,675,711,951,648,662,842,1000
626,566,566,963,1000,999,999,1000,1000,433,643,676,661,766,838,856,945
627,738,799,845,980,999,999,1000,1000,44,713,560,77,410,669,418,1000
628,727,795,836,978,998,998,1000,1000,317,661,611,514,562,564,890,1000
629,494,804,510,1000,1000,1000,1000,1000,576,608,782,986,847,851,976,1000
630,533,587,706,1000,998,998,1000,1000,554,584,771,983,671,672,956,1000
631,835,837,990,1000,1000,1000,1000,1000,212,627,806,342,548,552,825,1000
632,0,593,0,1000,999,999,1000,1000,538,640,674,902,543,548,821,991
633,615,636,844,1000,1000,1000,1000,1000,219,590,781,370,461,550,526,995
634,0,691,0,1000,999,999,1000,1000,427,585,844,700,447,448,798,998
635,0,822,0,1000,999,999,1000,1000,495,690,534,976,739,799,817,1000
636,0,821,0,890,999,999,1000,1000,349,591,623,582,776,777,981,999
637,0,658,0,1000,1000,1000,1000,1000,473,636,737,740,781,811,878,1000
638,812,856,890,1000,1000,1000,1000,1000,582,616,782,995,801,805,975,991
639,729,826,988,884,999,999,1000,1000,405,611,802,661,774,774,980,1000
640,0,685,0,1000,999,999,1000,1000,503,603,751,831,849,851,987,1000
641,539,543,900,1000,1000,1000,1000,1000,497,602,692,843,713,734,900,972
642,76,891,76,1000,1000,1000,1000,1000,504,600,783,832,477,732,484,1000
643,796,798,989,1000,999,999,1000,1000,478,617,806,777,742,743,955,1000
644,747,749,981,1000,998,998,1000,1000,516,670,731,789,577,579,899,1000
645,43,641,43,1000,998,998,1000,1000,209,674,414,357,864,894,917,1000
646,845,847,989,1000,1000,1000,1000,1000,547,594,733,995,569,570,889,1000
647,741,742,979,1000,1000,1000,1000,1000,462,598,712,731,828,831,975,1000
648,840,844,977,1000,999,999,1000,1000,538,603,694,988,606,606,924,1000
649,489,794,507,1000,1000,1000,1000,1000,187,655,741,307,672,712,813,1000
650,530,532,934,999,999,999,1000,1000,563,609,750,993,793,839,857,1000
651,539,546,898,985,1000,1000,1000,1000,394,672,413,989,799,802,965,1000
652,595,632,838,953,1000,1000,1000,1000,490,681,539,994,634,641,877,1000
653,757,761,965,1000,997,997,1000,1000,238,682,541,370,580,594,855,962
654,609,631,836,1000,1000,1000,1000,1000,451,550,708,765,753,754,960,1000
655,553,582,781,1000,999,999,1000,1000,460,710,486,977,245,625,369,533
656,78,898,78,1000,999,999,1000,1000,496,703,596,828,576,651,669,980
657,728,733,964,1000,1000,1000,1000,1000,471,583,669,807,558,559,890,1000
658,586,631,758,999,999,999,1000,1000,384,615,771,634,778,778,984,1000
659,595,643,757,1000,999,999,1000,1000,498,617,590,972,839,842,984,999
660,0,812,0,883,998,998,1000,1000,203,675,493,302,627,633,873,999
661,583,583,968,1000,999,999,1000,1000,563,590,783,991,497,511,708,1000
662,795,823,976,967,1000,1000,1000,1000,530,609,840,856,788,789,972,1000
663,848,851,982,1000,1000,1000,1000,1000,396,681,719,604,489,506,694,1000
664,833,849,936,1000,997,997,1000,1000,452,715,535,780,806,806,989,1000
665,391,654,413,1000,999,999,1000,1000,432,536,736,761,546,602,915,882
666,571,870,583,992,1000,1000,1000,1000,403,550,741,676,728,805,877,910
