Sample,D_RT,O_RT,R_RT,C_RT,D_TT,O_TT,R_TT,D_Cont,O_Cont,R_Cont,C_Cont,D_Ins,O_Ins,R_Ins,C_Ins,D_JLA,R_JLA,O_JLA,C_JLA,D_all,D_Rel,D_RF,D_WCC,O_all,O_Rel,O_RF,O_WCC,R_all,R_Rel,R_RF,R_WCC,C_all,C_Rel,C_RF,C_WCC,Name
683,0.141025641,1,0.269230769,0.08974359,0.064102564,1.012820513,0.051282051,0.038777,0.024322,0.050039,0.046391,2,4,3,1,0.12118,0.123782,0.059687,0.39096,414,416,953,995,974,974,1000,1000,407,546,821,690,818,840,913,1000,perturbed
684,0.102564103,1,0.256410256,0.064102564,0.025641026,0.974358974,0.076923077,0.053625,0.060698,0.066217,0.058202,4,2,2,1,0.089377,0.084824,0.036886,0.401801,705,720,965,974,974,974,1000,1000,488,515,757,954,756,904,767,1000,perturbed
685,0.153846154,1,0.294871795,0.08974359,0.064102564,1.012820513,0.038461538,0.053119,0.037058,0.051212,0.05355,3,1,2,3,0.140007,0.072076,0.032719,0.362172,385,385,990,997,978,978,1000,1000,423,467,880,803,667,704,807,1000,perturbed
686,0.076923077,1,0.307692308,0.102564103,0.025641026,0.974358974,0.064102564,0.0606,0.028361,0.029786,0.034135,3,5,4,1,0.134793,0.091884,0.045136,0.371366,721,783,835,992,977,977,1000,1000,278,487,869,438,731,740,903,1000,perturbed
687,0.115384615,1,0.282051282,0.128205128,0.025641026,0.961538462,0.064102564,0.017248,0.043061,0.004136,0.011582,1,3,3,3,0.128957,0.083826,0.017521,0.393907,413,728,978,547,980,980,1000,1000,5,500,830,17,801,811,977,981,perturbed
688,0.128205128,1,0.256410256,0.102564103,0.051282051,1.038461538,0.076923077,0.071566,0.00686,0.059295,0.043322,4,3,2,2,0.083829,0.121288,0.061184,0.368341,502,502,956,1000,973,973,1000,1000,492,525,756,918,712,723,891,1000,perturbed
689,0.128205128,1,0.307692308,0.128205128,0.064102564,1,0.025641026,0.065367,0.050519,0.060155,0.043266,1,5,2,2,0.087747,0.105626,0.058168,0.406852,435,436,903,1000,978,978,1000,1000,428,511,910,770,866,867,990,1000,perturbed
690,0.153846154,1,0.307692308,0.08974359,0.025641026,0.961538462,0.012820513,0.022285,0.011394,0.019322,0.013145,3,1,3,3,0.095458,0.096374,0.08425,0.422691,472,634,995,641,979,979,1000,1000,4,509,913,16,924,931,975,1000,perturbed
691,0.153846154,1,0.294871795,0.076923077,0.038461538,1.012820513,0.025641026,0.068584,0.009963,0.039011,0.012541,3,3,2,2,0.073757,0.125907,0.041767,0.404556,472,472,994,1000,974,974,1000,1000,254,547,896,426,886,909,937,1000,perturbed
692,0.076923077,1,0.256410256,0.128205128,0.012820513,0.974358974,0.025641026,0.021245,0.041949,0.052548,0.031428,4,5,3,2,0.111218,0.098028,0.033537,0.417731,112,847,889,138,974,974,1000,1000,298,570,845,503,903,903,993,1000,perturbed
693,0.076923077,1,0.269230769,0.115384615,0.051282051,0.961538462,0.025641026,0.06517,0.036014,0.07437,0.045579,1,4,1,3,0.142753,0.113024,0.081844,0.397542,538,594,705,1000,979,979,1000,1000,512,552,867,900,839,841,976,1000,perturbed
694,0.08974359,1,0.282051282,0.128205128,0.012820513,1.012820513,0.025641026,0.056789,0.045839,0.014972,0.057984,1,4,1,2,0.078412,0.084914,0.089356,0.392678,804,819,936,995,977,977,1000,1000,13,525,892,26,809,811,975,1000,perturbed
695,0.115384615,1,0.282051282,0.115384615,0.064102564,0.974358974,0.025641026,0.058657,0.055162,0.077287,0.034693,4,1,1,2,0.130592,0.108802,0.033509,0.427701,462,465,879,990,979,979,1000,1000,515,543,893,920,928,928,995,1000,perturbed
696,0.153846154,1,0.243589744,0.08974359,0.038461538,0.974358974,0.025641026,0.037669,0.032369,0.011103,0.024294,2,1,1,1,0.101807,0.082384,0.073098,0.402316,488,490,994,983,973,973,1000,1000,7,551,826,12,867,881,948,1000,perturbed
697,0.102564103,1,0.307692308,0.128205128,0.025641026,1,0.051282051,0.024323,0.040401,0.077417,0.041008,3,3,2,1,0.098435,0.069092,0.085311,0.385918,466,732,960,609,978,978,1000,1000,443,443,882,971,775,777,968,1000,perturbed
698,0.102564103,1,0.269230769,0.115384615,0.012820513,1,0.025641026,0.016452,0.067308,0.061035,0.012419,3,1,3,2,0.080617,0.082807,0.029274,0.413301,66,803,976,94,977,977,1000,1000,387,535,864,675,887,889,990,1000,perturbed
699,0.076923077,1,0.256410256,0.064102564,0.038461538,1.012820513,0.064102564,0.009361,0.015751,0.072591,0.013759,1,3,2,1,0.13993,0.073494,0.013672,0.369582,269,643,763,385,974,974,1000,1000,487,507,770,969,567,789,575,987,perturbed
700,0.115384615,1,0.307692308,0.102564103,0.038461538,1.025641026,0.012820513,0.013301,0.016493,0.027416,0.051424,1,3,2,2,0.101696,0.103456,0.051515,0.415853,312,561,958,475,974,974,1000,1000,63,516,912,124,910,914,987,1000,perturbed
701,0.08974359,1,0.269230769,0.102564103,0.064102564,1.025641026,0.051282051,0.078235,0.006941,0.03932,0.042113,3,2,2,3,0.068995,0.11627,0.024734,0.377395,465,488,730,1000,978,978,1000,1000,427,547,822,699,761,769,924,1000,perturbed
702,0.115384615,1,0.269230769,0.102564103,0.051282051,0.974358974,0.051282051,0.031628,0.027268,0.071027,0.001946,4,3,3,2,0.079066,0.112899,0.065078,0.394577,448,496,953,806,977,977,1000,1000,499,551,820,867,809,843,965,952,perturbed
703,0.102564103,1,0.230769231,0.115384615,0.064102564,0.961538462,0.012820513,0.029009,0.020751,0.026025,0.004651,1,2,1,2,0.087488,0.080295,0.080518,0.403171,465,474,840,980,980,980,1000,1000,76,559,813,120,859,864,982,998,perturbed
704,0.128205128,1,0.230769231,0.102564103,0.025641026,1,0.051282051,0.058336,0.057043,0.04238,0.031881,4,3,3,1,0.084977,0.070491,0.021706,0.360614,688,693,990,986,973,973,1000,1000,345,531,760,588,669,682,854,1000,perturbed
705,0.128205128,1,0.243589744,0.128205128,0.051282051,0.961538462,0.025641026,0.005233,0.053178,0.037474,0.022224,1,2,1,1,0.063698,0.121698,0.055744,0.389278,96,487,952,143,978,978,1000,1000,262,591,829,407,800,803,972,1000,perturbed
706,0.128205128,1,0.243589744,0.064102564,0.012820513,1.025641026,0.076923077,0.077457,0.028117,0.045344,0.009302,4,4,2,1,0.133893,0.104878,0.01427,0.392416,828,832,991,998,977,977,1000,1000,467,534,742,826,708,876,719,995,perturbed
707,0.141025641,1,0.230769231,0.115384615,0.064102564,0.987179487,0.025641026,0.028607,0.008435,0.080526,0.038326,3,4,4,1,0.069953,0.064558,0.035952,0.425711,380,410,953,857,974,974,1000,1000,442,505,793,840,926,926,994,1000,perturbed
708,0.141025641,1,0.294871795,0.115384615,0.025641026,0.974358974,0.064102564,0.074082,0.051375,0.049452,0.036897,4,5,1,3,0.109519,0.114039,0.074554,0.381419,665,665,992,1000,974,974,1000,1000,465,517,847,833,765,768,954,1000,perturbed
709,0.153846154,1,0.307692308,0.076923077,0.051282051,0.974358974,0.038461538,0.043821,0.05924,0.029356,0.0294,3,2,1,2,0.119254,0.130123,0.061072,0.402282,444,447,991,978,978,978,1000,1000,292,518,900,463,867,897,920,1000,perturbed
710,0.08974359,1,0.282051282,0.128205128,0.064102564,1.025641026,0.012820513,0.005097,0.034352,0.024499,0.027866,4,5,2,3,0.107081,0.066127,0.046693,0.385243,51,499,729,61,977,977,1000,1000,57,460,887,106,768,769,967,1000,perturbed
711,0.141025641,1,0.307692308,0.115384615,0.012820513,1.025641026,0.051282051,0.015371,0.066732,0.053216,0.00222,2,5,1,1,0.131826,0.116401,0.045821,0.391095,74,805,994,111,979,979,1000,1000,471,516,885,845,809,817,970,986,perturbed
712,0.141025641,1,0.230769231,0.064102564,0.025641026,1.038461538,0.064102564,0.066,0.026184,0.034085,0.03234,3,2,2,1,0.118077,0.068124,0.051636,0.397977,679,679,995,1000,973,973,1000,1000,405,526,732,685,742,905,752,1000,perturbed
713,0.08974359,1,0.282051282,0.08974359,0.012820513,0.987179487,0.025641026,0.057622,0.028022,0.046256,0.004499,2,3,3,3,0.087103,0.103534,0.058213,0.410934,812,828,936,994,978,978,1000,1000,246,552,892,417,895,912,962,992,perturbed
714,0.128205128,1,0.294871795,0.102564103,0.038461538,1,0.064102564,0.080121,0.021831,0.004535,0.051319,2,3,4,3,0.069607,0.083412,0.069112,0.357381,510,510,978,1000,977,977,1000,1000,9,495,849,19,644,659,839,1000,perturbed
715,0.141025641,1,0.230769231,0.141025641,0.025641026,0.987179487,0.025641026,0.063827,0.013338,0.053253,0.047321,2,2,1,3,0.138073,0.124909,0.030427,0.377164,672,672,995,1000,974,974,1000,1000,433,607,806,689,728,728,968,1000,perturbed
716,0.076923077,1,0.269230769,0.128205128,0.012820513,0.974358974,0.025641026,0.074777,0.019222,0.047574,0.039838,3,5,2,1,0.134328,0.095148,0.042243,0.414993,806,848,889,996,974,974,1000,1000,368,554,869,605,889,889,993,1000,perturbed
